Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
26,Female,Pay bills,"Yes, daily",Frequently,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
51,Female,Save,"No, I don't track it",Rarely,Donate it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
22,Male,Spend,Sometimes,Always,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
61,Female,Spend,"No, I don't track it",Frequently,Donate it,"No, i don't have a budget",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
60,Female,Save,Sometimes,Frequently,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
45,Female,Other,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
31,Female,Pay bills,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Spending less
53,Male,Spend,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
27,Female,Pay bills,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
27,Male,Save,"Yes, monthly",Rarely,Invest it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Very confident,Investing regularly
56,Female,Pay bills,"Yes, daily",Always,Spend it,"No, i don't have a budget",Other,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
54,Male,Save,Sometimes,Rarely,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
50,Female,Save,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
21,Female,Pay bills,"Yes, daily",Never,Save it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
39,Female,Pay bills,"Yes, daily",Never,Pay off debt,"No, i don't have a budget",Travel,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
47,Male,Other,"No, I don't track it",Rarely,Spend it,"Yes, I follow it strictly",Buying a home,Not comfortable,"Yes, I have a detailed plan",Very confident,Spending less
30,Male,Pay bills,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
42,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
64,Female,Other,"No, I don't track it",Frequently,Donate it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
56,Female,Pay bills,"No, I don't track it",Never,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
37,Other,Pay bills,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
56,Female,Other,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
53,Female,Pay bills,"Yes, daily",Always,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
44,Male,Pay bills,Sometimes,Always,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Other
38,Male,Pay bills,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
60,Female,Spend,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
64,Male,Save,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
25,Male,Spend,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
62,Male,Spend,"No, I don't track it",Always,Donate it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
43,Male,Pay bills,"No, I don't track it",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
27,Female,Save,"No, I don't track it",Never,Invest it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
35,Male,Spend,Sometimes,Never,Donate it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
51,Female,Pay bills,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
28,Female,Spend,"No, I don't track it",Frequently,Donate it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
30,Female,Spend,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
33,Male,Pay bills,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
29,Male,Pay bills,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
37,Male,Save,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
35,Female,Spend,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Very confident,Investing regularly
43,Male,Save,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
56,Female,Pay bills,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
50,Female,Spend,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
27,Female,Spend,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
43,Male,Spend,"Yes, daily",Never,Donate it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
44,Female,Pay bills,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
57,Male,Spend,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Other,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
41,Male,Other,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Retiring early,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
35,Female,Save,Sometimes,Rarely,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
19,Other,Save,"Yes, daily",Never,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
43,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
22,Female,Save,"Yes, monthly",Never,Donate it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
30,Male,Save,"No, I don't track it",Never,Spend it,"Yes, I follow it strictly",Other,Very comfortable,"Yes, but it's vague",Very confident,Investing regularly
45,Male,Pay bills,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Other,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
38,Male,Spend,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
32,Male,Pay bills,"Yes, daily",Never,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
29,Female,Pay bills,"Yes, monthly",Rarely,Donate it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
60,Other,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
22,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
26,Female,Save,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
24,Female,Pay bills,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
38,Other,Pay bills,"No, I don't track it",Rarely,Pay off debt,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
35,Female,Save,"No, I don't track it",Rarely,Pay off debt,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
44,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
42,Female,Spend,"Yes, monthly",Never,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
25,Male,Spend,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
52,Male,Pay bills,"No, I don't track it",Never,Invest it,"Yes, I follow it strictly",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
21,Female,Save,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
61,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
29,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
22,Male,Spend,Sometimes,Rarely,Save it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
51,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
47,Female,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
19,Female,Save,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
35,Female,Spend,"Yes, monthly",Always,Invest it,"Yes, I follow it strictly",Retiring early,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
55,Male,Pay bills,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
18,Female,Save,"Yes, monthly",Always,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
57,Male,Pay bills,"Yes, daily",Rarely,Save it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
25,Male,Other,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
31,Male,Save,Sometimes,Never,Pay off debt,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
38,Male,Other,Sometimes,Rarely,Donate it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
48,Male,Spend,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
28,Male,Pay bills,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Saving more
50,Female,Save,"Yes, daily",Never,Spend it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
25,Female,Save,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
40,Female,Save,Sometimes,Never,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
29,Female,Save,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
41,Female,Spend,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
25,Male,Spend,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Other,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
22,Male,Save,Sometimes,Rarely,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
57,Female,Pay bills,"No, I don't track it",Rarely,Invest it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
60,Female,Pay bills,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
26,Male,Spend,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
40,Male,Pay bills,"No, I don't track it",Always,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Paying off debt
54,Female,Spend,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
32,Male,Pay bills,Sometimes,Never,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
58,Female,Pay bills,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
55,Other,Spend,"Yes, daily",Always,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Saving more
49,Male,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
24,Male,Save,"No, I don't track it",Never,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
19,Female,Pay bills,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Other,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
34,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
46,Male,Spend,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
60,Male,Pay bills,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Very confident,Saving more
58,Female,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
23,Female,Spend,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
30,Female,Spend,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
28,Female,Spend,"Yes, daily",Always,Pay off debt,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
38,Female,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Paying off debt
59,Male,Pay bills,Sometimes,Never,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
26,Male,Save,Sometimes,Frequently,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
19,Male,Spend,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
35,Male,Spend,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
64,Other,Save,"No, I don't track it",Never,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
55,Other,Save,Sometimes,Rarely,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
21,Male,Save,"No, I don't track it",Frequently,Spend it,"Yes, I follow it strictly",Retiring early,Very comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
55,Male,Pay bills,Sometimes,Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
50,Male,Pay bills,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Saving more
43,Other,Save,Sometimes,Always,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
27,Female,Spend,Sometimes,Frequently,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
29,Female,Spend,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
57,Female,Pay bills,Sometimes,Rarely,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
40,Male,Save,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
27,Female,Save,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
26,Male,Save,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
28,Male,Save,"Yes, monthly",Frequently,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
36,Male,Pay bills,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
59,Female,Save,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
43,Male,Save,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
58,Female,Pay bills,"Yes, monthly",Always,Donate it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
22,Male,Save,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
56,Female,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
18,Female,Save,"Yes, daily",Never,Pay off debt,"No, i don't have a budget",Other,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
43,Male,Spend,Sometimes,Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
36,Male,Save,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
56,Female,Save,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
43,Female,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
58,Female,Save,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
23,Female,Save,"Yes, monthly",Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
28,Male,Spend,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
40,Male,Pay bills,Sometimes,Rarely,Donate it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
52,Other,Other,"Yes, monthly",Frequently,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
61,Female,Save,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
60,Male,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
53,Male,Spend,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
26,Female,Pay bills,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
55,Female,Pay bills,"Yes, daily",Frequently,Pay off debt,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
49,Male,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Investing regularly
55,Male,Pay bills,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Saving more
33,Female,Other,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
33,Male,Save,"No, I don't track it",Never,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
36,Male,Pay bills,Sometimes,Rarely,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
56,Male,Spend,"No, I don't track it",Frequently,Pay off debt,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
56,Male,Other,"No, I don't track it",Rarely,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
25,Male,Other,"No, I don't track it",Never,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
31,Female,Spend,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Other
43,Female,Save,"Yes, monthly",Always,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
39,Female,Other,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
39,Male,Save,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, but it's vague",Somewhat confident,Other
52,Male,Spend,"No, I don't track it",Always,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
53,Male,Pay bills,"No, I don't track it",Rarely,Invest it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
23,Male,Save,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
22,Female,Pay bills,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
52,Female,Spend,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
23,Male,Spend,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Travel,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
23,Male,Pay bills,Sometimes,Frequently,Spend it,"No, i don't have a budget",Travel,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
25,Male,Pay bills,"Yes, monthly",Rarely,Save it,"Yes, I follow it strictly",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
32,Male,Spend,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
36,Female,Spend,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Other,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
35,Male,Other,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
59,Male,Pay bills,"Yes, monthly",Never,Invest it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
51,Male,Pay bills,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
